date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2024-01-04,C,2488.57,c2401,2410.0,c2405,2423.0,2401,2405,-78.57000000000016,-65.57000000000016,-0.03157234877861592,-0.02634846518281586
2024-01-04,A,4800.0,a2401,4815.0,a2403,4843.0,2401,2403,15.0,43.0,0.0031250000000000444,0.008958333333333401
2024-01-04,M,3904.0,m2401,3792.0,m2405,3259.0,2401,2405,-112.0,-645.0,-0.02868852459016391,-0.16521516393442626
2024-01-04,Y,7930.0,y2401,7740.0,y2405,7392.0,2401,2405,-190.0,-538.0,-0.023959646910466592,-0.06784363177805797
2024-01-04,P,6944.0,p2401,6930.0,p2405,6984.0,2401,2405,-14.0,40.0,-0.0020161290322581182,0.005760368663594528
2024-01-04,JD,4340.0,jd2401,3755.0,jd2403,3544.0,2401,2403,-585.0,-796.0,-0.13479262672811065,-0.1834101382488479
2024-01-04,L,8250.0,l2401,7972.0,l2405,8146.0,2401,2405,-278.0,-104.0,-0.03369696969696967,-0.01260606060606062
2024-01-04,V,5628.0,v2401,5643.0,v2405,5891.0,2401,2405,15.0,263.0,0.0026652452025586193,0.046730632551527984
2024-01-04,PP,7628.57,pp2401,7380.0,pp2405,7450.0,2401,2405,-248.5699999999997,-178.5699999999997,-0.03258408849889294,-0.023408056817988077
2024-01-04,J,2328.33,j2401,2538.0,j2405,2501.0,2401,2405,209.67000000000007,172.67000000000007,0.09005166793366914,0.07416044976442349
2024-01-04,JM,2450.0,jm2401,2000.0,jm2405,1885.5,2401,2405,-450.0,-564.5,-0.18367346938775508,-0.2304081632653061
2024-01-04,I,1085.22,i2401,1080.0,i2405,1016.0,2401,2405,-5.220000000000027,-69.22000000000003,-0.004810084591142849,-0.06378430180055661
2024-01-04,EG,4411.67,eg2401,4429.0,eg2405,4552.0,2401,2405,17.329999999999927,140.32999999999993,0.003928217659072475,0.031808816162586906
2024-01-04,EB,8510.0,eb2401,8436.0,eb2402,8468.0,2401,2402,-74.0,-42.0,-0.008695652173912993,-0.004935370152761465
2024-01-04,PG,4978.0,pg2401,4884.0,pg2402,4799.0,2401,2402,-94.0,-179.0,-0.01888308557653673,-0.03595821615106465
2024-01-04,LH,14330.0,lh2401,12715.0,lh2403,13750.0,2401,2403,-1615.0,-580.0,-0.1127006280530356,-0.0404745289602233
2024-01-04,WH,2830.0,WH401,3198.0,WH411,3198.0,2401,2411,368.0,368.0,0.13003533568904602,0.13003533568904602
2024-01-04,PM,2830.0,PM401,3122.0,PM411,3122.0,2401,2411,292.0,292.0,0.1031802120141343,0.1031802120141343
2024-01-04,CF,16511.83,CF401,15595.0,CF405,15670.0,2401,2405,-916.8300000000017,-841.8300000000017,-0.055525644341057445,-0.05098344641387431
2024-01-04,SR,6706.0,SR401,6380.0,SR405,6324.0,2401,2405,-326.0,-382.0,-0.04861318222487321,-0.056963912913808534
2024-01-04,TA,5896.0,TA401,5852.0,TA405,5896.0,2401,2405,-44.0,0.0,-0.007462686567164201,0.0
2024-01-04,OI,7948.33,OI401,7801.0,OI405,7833.0,2401,2405,-147.32999999999993,-115.32999999999993,-0.018535969191012414,-0.014509966244481531
2024-01-04,MA,2414.17,MA401,2351.0,MA405,2387.0,2401,2405,-63.17000000000007,-27.170000000000073,-0.02616634288388975,-0.0112543855652254
2024-01-04,FG,1749.6000000000001,FG401,1820.0,FG405,1910.0,2401,2405,70.39999999999986,160.39999999999986,0.04023776863283035,0.09167809785093728
2024-01-04,RM,2913.33,RM401,2782.0,RM403,2778.0,2401,2403,-131.32999999999993,-135.32999999999993,-0.045078998946223026,-0.04645199822883095
